Video: Game02_video0001
----------------------------------------
Distance Values for different threshold per Frame:
----------------------------------------
450,0,0.48,1.04,0.96,0.68,0.32,0.12,0,0,0,0,0,0,0,0,0,0,0,0,
460,0,0.76,0.84,0.72,0.56,0.32,0.12,0,0,0,0,0,0,0,0,0,0,0,0,
470,0,0.48,0.56,0.6,0.52,0.24,-0.04,-0.08,0,0,0,0,0,0,0,0,0,0,0,
480,0,0.36,0,0.24,0.4,0.08,-0.08,-0.08,0,0,0,0,0,0,0,0,0,0,0,
490,0,0.16,-0.84,-0.76,-0.16,-0.24,-0.16,-0.08,-0.04,0,0,0,0,0,0,0,0,0,0,
500,0,0.16,-1.12,-1,-0.4,-0.2,-0.12,-0.08,-0.04,0,0,0,0,0,0,0,0,0,0,
510,0,-0.04,-1.28,-0.92,-0.4,-0.2,-0.12,-0.08,-0.04,0,0,0,0,0,0,0,0,0,0,
520,0,-0.16,-1.32,-0.96,-0.56,-0.28,-0.04,-0.04,-0.04,0,0,0,0,0,0,0,0,0,0,
530,0,-0.4,-1.32,-0.96,-0.68,-0.32,-0.08,-0.04,-0.04,0,0,0,0,0,0,0,0,0,0,
540,0,-0.76,-0.72,-0.36,-0.36,-0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,
550,0,-1.16,-0.8,-0.56,-0.4,-0.2,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,
560,0,-1.56,-0.8,-0.52,-0.36,-0.2,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,
570,0,-1.68,-0.8,-0.56,-0.24,-0.12,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,
580,-0.04,-1.72,-0.56,-0.4,-0.12,-0.04,-0.04,0,0,0,0,0,0,0,0,0,0,0,0,
Video: Game02_video0002
----------------------------------------
Distance Values for different threshold per Frame:
----------------------------------------
Frames,303.253,606.505,909.758,1213.01,1516.26,1819.52,2122.77,2426.02,2729.27,3032.53,3335.78,3639.03,3942.29,4245.54,4548.79,4852.04,5155.3,5458.55,5761.8,6065.06,
50,0.12,0,0.28,0.28,0.12,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0,-0.44,0,0.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,0,-0.64,-0.2,0.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
